,time,trading_day,place_order_amount,entrust_amount,trade_amount,cancel_amount,error_amount,money,frozen
,"2022-08-01 14:59:59",20220801,884,884,463,421,0,291543.170347,143586.551451
,"2022-08-02 14:59:59",20220802,714,707,375,332,7,300633.527150,296111.740379
,"2022-08-03 14:59:59",20220803,198,186,101,85,12,296956.362508,267791.939449
,"2022-08-04 14:59:59",20220804,576,553,303,250,23,326676.304104,292507.379625
,"2022-08-05 14:59:59",20220805,626,618,331,286,4,317289.301926,266371.582410
